@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
749,,ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ,,ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ,,
750,,ਵਿਲੀਅਮ ਸ਼ੈਕਸਪੀਅਰ,,ਵਿਲੀਅਮ ਸ਼ੈਕਸਪੀਅਰ,,
751,,વિલિયમ શેક્સપીયર,,વિલિયમ શેક્સપીયર,,
752,,ୱିଲିଅମ ସେକ୍ସପିଅର,,ୱିଲିଅମ ସେକ୍ସପିଅର,,
753,,வில்லியம் சேக்சுபியர்,,வில்லியம் சேக்சுபியர்,,
754,,విలియం షేక్ స్పియర్,,విలియం షేక్ స్పియర్,,
755,,ವಿಲಿಯಂ ಷೇಕ್ಸ್ ಪಿಯರ್,,ವಿಲಿಯಂ ಷೇಕ್ಸ್ ಪಿಯರ್,,
756,,ಷೇಕ್ಸ್ ಪಿಯರ್,,ಷೇಕ್ಸ್ ಪಿಯರ್,,
757,,വില്യം ഷെയ്ക്സ്പിയർ,,വില്യം ഷെയ്ക്സ്പിയർ,,
758,,විලියම් ෂේක්ස්පියර්,,විලියම් ෂේක්ස්පියර්,,
759,,วิลเลียม เชกสเปียร์,,วิลเลียม เชกสเปียร์,,
760,,เชกสเปียร์,,เชกสเปียร์,,
761,,ཞེ་ཁུ་སི་པེར །,,ཞེ་ཁུ་སི་པེར །,,
762,,ཤེག་སི་པེ་ཡར།,,ཤེག་སི་པེ་ཡར།,,
763,,ရှိတ်စပီးယား,,ရှိတ်စပီးယား,,
764,,သျဵၵ်ႉၸပီးယႃး,,သျဵၵ်ႉၸပီးယႃး,,
765,,უილიამ შექსპირი,,უილიამ შექსპირი,,
766,,უილიამ შექსფირი,,უილიამ შექსფირი,,
767,,ሼክስፒር,,ሼክስፒር,,
768,,វីលីម ហ្សេកស្ពែរ,,វីលីម ហ្សេកស្ពែរ,,
769,,វីល្លៀម ស៊េកស្ពៀរ,,វីល្លៀម ស៊េកស្ពៀរ,,
770,,ᱣᱤᱞᱤᱭᱚᱢ ᱥᱮᱠᱥᱯᱤᱭᱚᱨ,,ᱣᱤᱞᱤᱭᱚᱢ ᱥᱮᱠᱥᱯᱤᱭᱚᱨ,,
771,,Ṣēkspiyar,,Ṣēkspiyar,,
772,,Ṣēkspiyar Mahākavi,,Ṣēkspiyar Mahākavi,,
773,,Ṣēkspiyar Mahākaviya,,Ṣēkspiyar Mahākaviya,,
774,,Ṿ. Sheḳspir,,Ṿ. Sheḳspir,,
775,,Ṿiliam Sheḳspir,,Ṿiliam Sheḳspir,,
776,,Ṿiliyam Sheḳspir,,Ṿiliyam Sheḳspir,,
777,,Ṿilyam Shaḳspir,,Ṿilyam Shaḳspir,,
778,,Ṿilyam Sheḳspier,,Ṿilyam Sheḳspier,,
779,,Ṿilyam Sheḳspir,,Ṿilyam Sheḳspir,,
780,,‏שקספיר,,‏שקספיר,,
781,,ウィリアム シェイクスピア,,ウィリアム シェイクスピア,,
782,,ウィリアム シェークスピア,,ウィリアム シェークスピア,,
783,,ウィリアム・シェイクスピア,,ウィリアム・シェイクスピア,,ウィリアム・シェイクスピア
784,,シェイクスピア,,シェイクスピア,,
785,,シェクスピア,,シェクスピア,,
786,,シェークスピア,,シェークスピア,,
787,,シェークスピヤ,,シェークスピヤ,,
788,,シエィクスピア,,シエィクスピア,,
789,,シエクスピア,,シエクスピア,,
790,,シエクスピヤ,,シエクスピヤ,,
791,,セキスピア,,セキスピア,,
792,,セーキスピーア,,セーキスピーア,,
793,,塞格斯比亜,,塞格斯比亜,,
794,,威廉·莎士比亚,,威廉·莎士比亚,,威廉·莎士比亚
795,,寒格斯比亜,,寒格斯比亜,,
796,,沙士北亞威廉姆,,沙士北亞威廉姆,,
797,,沙士比亞威廉姆,,沙士比亞威廉姆,,
798,,沙士比阿,,沙士比阿,,
799,,沙翁,,沙翁,,
800,,莎士比,,莎士比,,
801,,莎士比亚,,莎士比亚,,
802,,莎士比亞,,莎士比亞,,
803,,莎士比亞威廉,,莎士比亞威廉,,
804,,莎士比亞威廉姆,,莎士比亞威廉姆,,
805,,西基斯比亜,,西基斯比亜,,
806,,세익스피어,,세익스피어,,
807,,섹스피어,,섹스피어,,
808,,셰익스피어,,셰익스피어,,
809,,쉑쓰피어,,쉑쓰피어,,
810,,쎄익쓰피어,,쎄익쓰피어,,
811,,쒝쓰피어,,쒝쓰피어,,
812,,윌리암 세익스피어,,윌리암 세익스피어,,
813,,윌리암 셰익스피어,,윌리암 셰익스피어,,
814,,윌리암 쉐익스피어,,윌리암 쉐익스피어,,
815,,윌리암 쉑스피어,,윌리암 쉑스피어,,
816,,윌리엄 세익스피어,,윌리엄 세익스피어,,
817,,윌리엄 섹스피어,,윌리엄 섹스피어,,
818,,윌리엄 셰익스피어,,윌리엄 셰익스피어,,
819,,윌리엄 쉐익스피어,,윌리엄 쉐익스피어,,
820,,윌리엄 쉑스피어,,윌리엄 쉑스피어,,
821,,1564-04-00,,1564-04-00,,
822,,1616-04-23,,1616-04-23,,1616-04-23
823,,"English playwright and poet, 1564-1616",,"English playwright and poet, 1564-1616",,
824,,William,,William,,William
825,,Уильям,,Уильям,,
826,,Bacon-Shakespeare,,Bacon-Shakespeare,,
827,,Chakespear,,Chakespear,,
828,,Chekchapiyera,,Chekchapiyera,,
829,,Hākipia,,Hākipia,,
830,,S,,S,,
831,,S'egsi-pe-yar,,S'egsi-pe-yar,,
832,,S.,,S.,,
833,,SHAKESPEARE,,SHAKESPEARE,,
834,,Saixperos,,Saixperos,,
835,,Sakespear,,Sakespear,,
836,,Sakespeĩros,,Sakespeĩros,,
837,,Sakisbir,,Sakisbir,,
838,,Saíxpēr,,Saíxpēr,,
839,,Schekspirs,,Schekspirs,,
840,,Sekspir,,Sekspir,,
841,,Sekspiri,,Sekspiri,,
842,,Shaekespeare,,Shaekespeare,,
843,,Shak-Speare,,Shak-Speare,,
844,,Shak-speare,,Shak-speare,,
845,,Shake-Spear,,Shake-Spear,,
846,,Shake-Speare,,Shake-Speare,,
847,,Shake-speare,,Shake-speare,,
848,,Shakespearowy,,Shakespearowy,,
849,,Shakesperae,,Shakesperae,,
850,,Shakespere,,Shakespere,,
851,,Shaksper,,Shaksper,,
852,,Shaḳspir,,Shaḳspir,,
853,,Shekspyr,,Shekspyr,,
854,,Shekspīʼar,,Shekspīʼar,,
855,,Shex'pir,,Shex'pir,,
856,,Sheḳspier,,Sheḳspier,,
857,,Sheḳspir,,Sheḳspir,,
858,,Shikisbir,,Shikisbir,,
859,,Shikisbīr,,Shikisbīr,,
860,,Shiksbīr,,Shiksbīr,,
861,,Shēkʻspʻiyr,,Shēkʻspʻiyr,,
862,,Siksbir,,Siksbir,,
863,,Sikspir,,Sikspir,,
864,,Sjekspir,,Sjekspir,,
865,,Sweksŭp'iŏ,,Sweksŭp'iŏ,,
866,,Syeiksŭpiŏ,,Syeiksŭpiŏ,,
867,,Szekspjr,,Szekspjr,,
868,,S̆ekhspiri,,S̆ekhspiri,,
869,,S̆ekspir,,S̆ekspir,,
870,,S̆ekspyras,,S̆ekspyras,,
871,,S̆ekspīrs,,S̆ekspīrs,,
872,,èakisb¯ir,,èakisb¯ir,,
873,,èekspir,,èekspir,,
874,,èiksbir,,èiksbir,,
875,,èikspir,,èikspir,,
876,,Šakasbīr,,Šakasbīr,,
877,,Šakaspīr,,Šakaspīr,,
878,,Šakisbīr,,Šakisbīr,,
879,,Šaksbīr,,Šaksbīr,,
880,,Šakspīr,,Šakspīr,,
881,,Šek'spir,,Šek'spir,,
882,,Šek'spiri,,Šek'spiri,,
883,,Šekspira,,Šekspira,,
884,,Šekspyr,,Šekspyr,,
885,,Šekʹspir,,Šekʹspir,,
886,,Šekʻspiri,,Šekʻspiri,,
887,,Šeqspiyr,,Šeqspiyr,,
888,,Šeqspīr,,Šeqspīr,,
889,,Šhekspir,,Šhekspir,,
890,,Šikisbīr,,Šikisbīr,,
891,,Šiksbīr,,Šiksbīr,,
892,,Šikspīr,,Šikspīr,,
893,,Šèkspir,,Šèkspir,,
894,,Шакеспеаре,,Шакеспеаре,,
895,,Шекспиръ,,Шекспиръ,,
896,,Шэкспир,,Шэкспир,,
897,,Шэкспір,,Шэкспір,,
898,,Շեքսպիր,,Շեքսպիր,,
899,,שייקספיר,,שייקספיר,,
900,,שיקספיר,,שיקספיר,,
901,,שכספיר,,שכספיר,,
902,,שעפקספיר,,שעפקספיר,,
903,,שעקספיער,,שעקספיער,,
904,,شكسپير,,شكسپير,,
905,,شېكېسپېر,,شېكېسپېر,,
906,,‏שיקספיר,,‏שיקספיר,,
907,,쉐익스피어,,쉐익스피어,,
908,,쉑스피어,,쉑스피어,,
909,,http://www.wikidata.org/entity/Q6581097,,http://www.wikidata.org/entity/Q6581097,,
910,,..,,..,,
911,,...,,...,,
912,,Francis,,Francis,,
913,,G.,,G.,,
914,,Gouilliam,,Gouilliam,,
915,,Guglielmo,,Guglielmo,,
916,,Guillaume,,Guillaume,,
917,,Guillem,,Guillem,,
918,,Guillermo,,Guillermo,,
919,,Gulielmus,,Gulielmus,,
920,,Gwilherm,,Gwilherm,,
921,,Ouilliam,,Ouilliam,,
922,,U,,U,,
923,,U.,,U.,,
924,,Uil'jam,,Uil'jam,,
925,,Uil'âm,,Uil'âm,,
926,,Uiliam,,Uiliam,,
927,,Uiliem,,Uiliem,,
928,,Uiljam,,Uiljam,,
929,,Uiljjam,,Uiljjam,,
930,,Uilliam,,Uilliam,,
931,,Uilyam,,Uilyam,,
932,,Uilʹi︠a︡m,,Uilʹi︠a︡m,,
933,,Uilʹjam,,Uilʹjam,,
934,,Uil‘jam,,Uil‘jam,,
935,,Uiriamu,,Uiriamu,,
936,,Uílliam,,Uílliam,,
937,,Uíïlliam,,Uíïlliam,,
938,,Uïlliam,,Uïlliam,,
939,,Uĭlii︠a︡m,,Uĭlii︠a︡m,,
940,,V,,V,,
941,,V.,,V.,,
942,,V.(Vil’i︠a︡m),,V.(Vil’i︠a︡m),,
943,,Veilliyam,,Veilliyam,,
944,,Veilliyem,,Veilliyem,,
945,,Velyam,,Velyam,,
946,,Vil' jam,,Vil' jam,,
947,,Vil'jam,,Vil'jam,,
948,,Vil'âm,,Vil'âm,,
949,,Viliam,,Viliam,,
950,,Viliem,,Viliem,,
951,,Vilijam,,Vilijam,,
952,,Vilijem,,Vilijem,,
953,,Viliyam,,Viliyam,,
954,,Viljam,,Viljam,,
955,,Viljamas,,Viljamas,,
956,,Viljams,,Viljams,,
957,,Viljem,,Viljem,,
958,,Villiam,,Villiam,,
959,,Villiyam,,Villiyam,,
960,,Vilmos,,Vilmos,,
961,,Vilyam,,Vilyam,,
962,,Vilém,,Vilém,,
963,,Vilʹi︠a︡m,,Vilʹi︠a︡m,,
964,,Vilʹjam,,Vilʹjam,,
965,,Vil’i︠a︡m,,Vil’i︠a︡m,,
966,,Vlilliam,,Vlilliam,,
967,,Vylem,,Vylem,,
968,,Vyli︠e︡m,,Vyli︠e︡m,,
969,,Vīlyām,,Vīlyām,,
970,,W.,,W.,,
971,,Wi,,Wi,,
972,,Wi-li-am,,Wi-li-am,,
973,,Wi.,,Wi.,,
974,,Wil'yam,,Wil'yam,,
975,,Wilhelm,,Wilhelm,,
976,,Wiliam,,Wiliam,,
977,,Wiliyam,,Wiliyam,,
978,,Wiljam,,Wiljam,,
979,,Wiljams,,Wiljams,,
980,,Wiljem,,Wiljem,,
981,,Wiljām,,Wiljām,,
982,,Will,,Will,,
983,,Willem,,Willem,,
984,,Willhelm,,Willhelm,,
985,,William G.,,William G.,,
986,,William(1564-1616) -- ハムレット,,William(1564-1616) -- ハムレット,,
987,,"William,",,"William,",,
988,,Williyam,,Williyam,,
989,,Willm,,Willm,,
990,,Willyam,,Willyam,,
991,,Willŏm,,Willŏm,,
992,,Wilyam,,Wilyam,,
993,,Wiremu,,Wiremu,,
994,,Ww,,Ww,,
995,,Wīlyam,,Wīlyam,,
996,,Wīlyām,,Wīlyām,,
997,,Wīlīam,,Wīlīam,,
998,,Wīlīyām,,Wīlīyām,,
999,,Wиллиам,,Wиллиам,,
1000,,Γουίλιαμ,,Γουίλιαμ,,
1001,,Ουίλιαμ,,Ουίλιαμ,,
1002,,В,,В,,
1003,,В.,,В.,,
1004,,Вилијам,,Вилијам,,
1005,,Вильям,,Вильям,,
1006,,У,,У,,
1007,,У.,,У.,,
1008,,"Уильям,",,"Уильям,",,
1009,,Уйлям,,Уйлям,,
1010,,Уільям,,Уільям,,
1011,,Ուիլյամ,,Ուիլյամ,,
1012,,וו,,וו,,
1013,,וו.,,וו.,,
1014,,וויליאם,,וויליאם,,
1015,,וויליאמ,,וויליאמ,,
1016,,ווילים,,ווילים,,
1017,,ווילליאם,,ווילליאם,,
1018,,וילאם,,וילאם,,
1019,,ויליאם,,ויליאם,,
1020,,"ויליאם,",,"ויליאם,",,
1021,,ויליים,,ויליים,,
1022,,וילים,,וילים,,
1023,,ו׳,,ו׳,,
1024,,ייליאם,,ייליאם,,
1025,,װ,,װ,,
1026,,װיליאם,,װיליאם,,
1027,,װילליאם,,װילליאם,,
1028,,ويليام,,ويليام,,
1029,,ویلیام,,ویلیام,,
1030,,ۋىليام,,ۋىليام,,
1031,,Ṿ.,,Ṿ.,,
1032,,Ṿiliam,,Ṿiliam,,
1033,,Ṿiliyam,,Ṿiliyam,,
1034,,Ṿilyam,,Ṿilyam,,
1035,,ウィリアム,,ウィリアム,,
1036,,윌리암,,윌리암,,
1037,,윌리엄,,윌리엄,,
1038,,William SHAKESPEARE,,William SHAKESPEARE,,
1039,,http://d-nb.info/gnd/118613723,,http://d-nb.info/gnd/118613723,,http://d-nb.info/gnd/118613723
1040,,http://data.bibsys.no/data/notrbib/authorityentry/x90052737,,http://data.bibsys.no/data/notrbib/authorityentry/x90052737,,
1041,,http://data.bnf.fr/ark:/12148/cb119246079#foaf:Person,,http://data.bnf.fr/ark:/12148/cb119246079#foaf:Person,,
1042,,http://datos.bne.es/resource/XX1020842,,http://datos.bne.es/resource/XX1020842,,
1043,,http://dbpedia.org/resource/William_Shakespeare,,http://dbpedia.org/resource/William_Shakespeare,,http://dbpedia.org/resource/William_Shakespeare
1044,,http://id.ndl.go.jp/auth/entity/00456207,,http://id.ndl.go.jp/auth/entity/00456207,,
1045,,http://isni.org/isni/0000000121032683,,http://isni.org/isni/0000000121032683,,
1046,,http://libris.kb.se/resource/auth/198702,,http://libris.kb.se/resource/auth/198702,,
1047,,http://vocab.getty.edu/ulan/500272240-agent,,http://vocab.getty.edu/ulan/500272240-agent,,
1048,,http://www.idref.fr/027136086/id,,http://www.idref.fr/027136086/id,,
1049,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""000565894"">BLBNB|000565894</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""000565894"">BLBNB|000565894</ns1:source>",,
1050,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""1071459"">SIMACOB|1071459</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""1071459"">SIMACOB|1071459</ns1:source>",,
1051,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""9810578162205606"">PLWABN|9810578162205606</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""9810578162205606"">PLWABN|9810578162205606</ns1:source>",,
1052,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""987007267964505171"">J9U|987007267964505171</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""987007267964505171"">J9U|987007267964505171</ns1:source>",,
1053,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""LNB:V*6914;=BG"">LIH|LNB:V-6914;=BG</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""LNB:V*6914;=BG"">LIH|LNB:V-6914;=BG</ns1:source>",,
1054,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""a11141761"">ERRR|a11141761</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""a11141761"">ERRR|a11141761</ns1:source>",,
1055,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""ncf10142390"">CAOONL|ncf10142390</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""ncf10142390"">CAOONL|ncf10142390</ns1:source>",,
1056,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""pe381951"">DE663|pe381951</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""pe381951"">DE663|pe381951</ns1:source>",,
1057,,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""vtls004543583"">SKMASNL|vtls004543583</ns1:source>",,"<ns1:source xmlns:ns1=""http://viaf.org/viaf/terms#"" nsid=""vtls004543583"">SKMASNL|vtls004543583</ns1:source>",,
1058,,BCP47 tag for 'GRATEVE' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'GRATEVE' is undetermined. Name is 'William Shakespeare'.,,
1059,,BCP47 tag for 'GRATEVE|60570' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'GRATEVE|60570' is undetermined. Name is 'William Shakespeare'.,,
1060,,BCP47 tag for 'J9U' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'J9U' is undetermined. Name is 'William Shakespeare'.,,
1061,,BCP47 tag for 'J9U' is undetermined. Name is 'Уильям Шекспир'.,,BCP47 tag for 'J9U' is undetermined. Name is 'Уильям Шекспир'.,,
1062,,BCP47 tag for 'J9U' is undetermined. Name is 'ויליאם שיקספיר'.,,BCP47 tag for 'J9U' is undetermined. Name is 'ויליאם שיקספיר'.,,
1063,,BCP47 tag for 'J9U' is undetermined. Name is 'شكسبير، وليام،'.,,BCP47 tag for 'J9U' is undetermined. Name is 'شكسبير، وليام،'.,,
1064,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'William Shakespeare'.,,
1065,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'Уильям Шекспир'.,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'Уильям Шекспир'.,,
1066,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'ויליאם שיקספיר'.,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'ויליאם שיקספיר'.,,
1067,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'شكسبير، وليام،'.,,BCP47 tag for 'J9U|987007267964505171' is undetermined. Name is 'شكسبير، وليام،'.,,
1068,,BCP47 tag for 'NYNYRILM' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'NYNYRILM' is undetermined. Name is 'William Shakespeare'.,,
1069,,BCP47 tag for 'NYNYRILM|16666' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'NYNYRILM|16666' is undetermined. Name is 'William Shakespeare'.,,
1070,,BCP47 tag for 'WKP' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'WKP' is undetermined. Name is 'William Shakespeare'.,,
1071,,BCP47 tag for 'WKP|Q692' is undetermined. Name is 'William Shakespeare'.,,BCP47 tag for 'WKP|Q692' is undetermined. Name is 'William Shakespeare'.,,
1072,,Warning: skos:prefLabels are not ensured against change!,,Warning: skos:prefLabels are not ensured against change!,,
1073,,http://viaf.org/viaf/96994048,,http://viaf.org/viaf/96994048,,http://viaf.org/viaf/96994048
1074,,RDF description of S00008556n,,,RDF description of S00008556n,
1075,,bn:s00008556n,,,bn:s00008556n,
1076,,http://babelnet.org/rdf/data/s00008556n?output=xml,,,http://babelnet.org/rdf/data/s00008556n?output=xml,
1077,,http://dbpedia.org/resource/Kingdom_of_England,,,,http://dbpedia.org/resource/Kingdom_of_England
1078,,"وليم شكسبير (بالإنجليزية: William Shakespeare) شاعر وكاتب مسرحي وممثل إنجليزي بارز في الأدب الإنجليزي خاصة والأدب العالمي عامة، سمي بــ""شاعر الوطنية"" و ""شاعر افون الملحمي""  أعماله موجودة وهي تتكون من 38 مسرحية و158 سونيته واثنتين من القصص الشعرية وبعض القصائد الشعرية وقد ترجمت مسرحياته وأعماله إلى كل اللغات الحية وتم تأديتها أكثر بكثير من مؤلفات أي كاتب مسرحي آخر.",,,,"وليم شكسبير (بالإنجليزية: William Shakespeare) شاعر وكاتب مسرحي وممثل إنجليزي بارز في الأدب الإنجليزي خاصة والأدب العالمي عامة، سمي بــ""شاعر الوطنية"" و ""شاعر افون الملحمي""  أعماله موجودة وهي تتكون من 38 مسرحية و158 سونيته واثنتين من القصص الشعرية وبعض القصائد الشعرية وقد ترجمت مسرحياته وأعماله إلى كل اللغات الحية وتم تأديتها أكثر بكثير من مؤلفات أي كاتب مسرحي آخر."
1079,,"William Shakespeare [ˈwɪljəm ˈʃeɪkspɪə] (getauft am 26. April 1564jul. in Stratford-upon-Avon; † 23. Apriljul./ 3. Mai 1616greg. ebenda) war ein englischer Dramatiker, Lyriker und Schauspieler. Seine Komödien und Tragödien gehören zu den bedeutendsten und am meisten aufgeführten und verfilmten Bühnenstücken der Weltliteratur. Sein überliefertes Gesamtwerk umfasst 38 (nach anderer Zählung 37) Dramen, epische Versdichtungen sowie 154 Sonette. Er gilt als einer der bedeutendsten Dichter der Weltliteratur.",,,,"William Shakespeare [ˈwɪljəm ˈʃeɪkspɪə] (getauft am 26. April 1564jul. in Stratford-upon-Avon; † 23. Apriljul./ 3. Mai 1616greg. ebenda) war ein englischer Dramatiker, Lyriker und Schauspieler. Seine Komödien und Tragödien gehören zu den bedeutendsten und am meisten aufgeführten und verfilmten Bühnenstücken der Weltliteratur. Sein überliefertes Gesamtwerk umfasst 38 (nach anderer Zählung 37) Dramen, epische Versdichtungen sowie 154 Sonette. Er gilt als einer der bedeutendsten Dichter der Weltliteratur."
1080,,"William Shakespeare (/ˈʃeɪkspɪər/; 26 April 1564 (baptised) – 23 April 1616) was an English poet, playwright, and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet, and the ""Bard of Avon"". His extant works, including collaborations, consist of approximately 38 plays, 154 sonnets, two long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare was born and brought up in Stratford-upon-Avon, Warwickshire. At the age of 18, he married Anne Hathaway, with whom he had three children: Susanna, and twins Hamnet and Judith. Sometime between 1585 and 1592, he began a successful career in London as an actor, writer, and part-owner of a playing company called the Lord Chamberlain's Men, later known as the King's Men. He appears to have retired to Stratford around 1613, at age 49, where he died three years later. Few records of Shakespeare's private life survive, which has stimulated considerable speculation about such matters as his physical appearance, sexuality, and religious beliefs, and whether the works attributed to him were written by others. Shakespeare produced most of his known work between 1589 and 1613. His early plays were primarily comedies and histories, and these are regarded as some of the best work ever produced in these genres. He then wrote mainly tragedies until about 1608, including Hamlet, Othello, King Lear, and Macbeth, considered some of the finest works in the English language. In his last phase, he wrote tragicomedies, also known as romances, and collaborated with other playwrights. Many of his plays were published in editions of varying quality and accuracy during his lifetime. In 1623, however, John Heminges and Henry Condell, two friends and fellow actors of Shakespeare, published a more definitive text known as the First Folio, a posthumous collected edition of his dramatic works that included all but two of the plays now recognised as Shakespeare's. It was prefaced with a poem by Ben Jonson, in which Shakespeare is hailed, presciently, as ""not of an age, but for all time"". In the 20th and 21st centuries, his works have been repeatedly adapted and rediscovered by new movements in scholarship and performance. His plays remain highly popular, and are constantly studied, performed, and reinterpreted in diverse cultural and political contexts throughout the world.",,,,"William Shakespeare (/ˈʃeɪkspɪər/; 26 April 1564 (baptised) – 23 April 1616) was an English poet, playwright, and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet, and the ""Bard of Avon"". His extant works, including collaborations, consist of approximately 38 plays, 154 sonnets, two long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare was born and brought up in Stratford-upon-Avon, Warwickshire. At the age of 18, he married Anne Hathaway, with whom he had three children: Susanna, and twins Hamnet and Judith. Sometime between 1585 and 1592, he began a successful career in London as an actor, writer, and part-owner of a playing company called the Lord Chamberlain's Men, later known as the King's Men. He appears to have retired to Stratford around 1613, at age 49, where he died three years later. Few records of Shakespeare's private life survive, which has stimulated considerable speculation about such matters as his physical appearance, sexuality, and religious beliefs, and whether the works attributed to him were written by others. Shakespeare produced most of his known work between 1589 and 1613. His early plays were primarily comedies and histories, and these are regarded as some of the best work ever produced in these genres. He then wrote mainly tragedies until about 1608, including Hamlet, Othello, King Lear, and Macbeth, considered some of the finest works in the English language. In his last phase, he wrote tragicomedies, also known as romances, and collaborated with other playwrights. Many of his plays were published in editions of varying quality and accuracy during his lifetime. In 1623, however, John Heminges and Henry Condell, two friends and fellow actors of Shakespeare, published a more definitive text known as the First Folio, a posthumous collected edition of his dramatic works that included all but two of the plays now recognised as Shakespeare's. It was prefaced with a poem by Ben Jonson, in which Shakespeare is hailed, presciently, as ""not of an age, but for all time"". In the 20th and 21st centuries, his works have been repeatedly adapted and rediscovered by new movements in scholarship and performance. His plays remain highly popular, and are constantly studied, performed, and reinterpreted in diverse cultural and political contexts throughout the world."
